model,exp,layer,n_steps,final_norm,final_cos_prev,mean_cos_prev,net_disp,path_len,straightness,converge_frac
ifevalg-opd,singlev_layers10-11_lr1e-1,11,145,65.58173370361328,0.9999802112579346,0.9992195905910598,64.85679626464844,140.3081559240818,0.462245375812232,0.5310344827586206
ifevalg-opd,singlev_layers10-20_lr1e-1,10,187,30.25481605529785,0.9999362230300903,0.998884480807089,30.17987060546875,131.40803200006485,0.22966534195911142,0.5454545454545454
ifevalg-opd,singlev_layers10-20_lr1e-1,11,187,26.545055389404297,0.9999241232872009,0.9988473628156929,26.7067928314209,122.3006882071495,0.2183699308885791,0.5882352941176471
ifevalg-opd,singlev_layers10-20_lr1e-1,12,187,25.984439849853516,0.9999266862869263,0.9988951891340235,25.85492515563965,118.91998341679573,0.21741446990471086,0.5882352941176471
ifevalg-opd,singlev_layers10-20_lr1e-1,13,187,25.520099639892578,0.9999208450317383,0.9988608010994491,25.6378231048584,118.7120800614357,0.21596642137506436,0.5935828877005348
ifevalg-opd,singlev_layers10-20_lr1e-1,14,187,25.318986892700195,0.9999165534973145,0.9988652560659634,25.22709846496582,116.3178579211235,0.21688070014212787,0.6042780748663101
ifevalg-opd,singlev_layers10-20_lr1e-1,15,187,26.174020767211914,0.9999239444732666,0.9988645049192573,26.346527099609375,113.60719665884972,0.23190896241129144,0.5935828877005348
ifevalg-opd,singlev_layers10-20_lr1e-1,16,187,27.21024513244629,0.9999254941940308,0.9989204150374218,27.274625778198242,112.71141043305397,0.24198637629859374,0.6042780748663101
ifevalg-opd,singlev_layers10-20_lr1e-1,17,187,30.665889739990234,0.999940812587738,0.9989478014489656,30.599180221557617,111.3109419643879,0.27489822367460803,0.5935828877005348
ifevalg-opd,singlev_layers10-20_lr1e-1,18,187,37.62288284301758,0.9999530911445618,0.9989971166015953,37.5621223449707,118.75443521142006,0.31630079565532326,0.5935828877005348
ifevalg-opd,singlev_layers10-20_lr1e-1,19,187,50.946815490722656,0.9999687075614929,0.9989690431343612,50.93286895751953,133.74252119660378,0.3808277913547581,0.5828877005347594
ifevalg-opd,singlev_layers10-20_lr1e-1,20,187,87.78331756591797,0.9999877214431763,0.999026850346596,87.47592163085938,161.00426164269447,0.5433143243437157,0.48128342245989303
ifevalg-opd,singlev_layers10-20_lr3e-1,10,52,89.09420776367188,0.99949049949646,0.9965725026878656,85.21002960205078,176.67896962165833,0.4822873360905386,0.8076923076923077
ifevalg-opd,singlev_layers10-20_lr3e-1,11,52,82.80438232421875,0.999470591545105,0.9966791003358131,77.87825012207031,156.76738381385803,0.4967758485689928,0.7884615384615384
ifevalg-opd,singlev_layers10-20_lr3e-1,12,52,78.2302017211914,0.9995172023773193,0.9968872748169244,72.68536376953125,141.72576069831848,0.5128592248254106,0.7884615384615384
ifevalg-opd,singlev_layers10-20_lr3e-1,13,52,79.33967590332031,0.9995534420013428,0.9968446376276952,73.27796936035156,139.76558136940002,0.5242919511541121,0.7692307692307693
ifevalg-opd,singlev_layers10-20_lr3e-1,14,52,80.18681335449219,0.9995841383934021,0.9970096466588039,73.86080932617188,137.50893861055374,0.5371346042845763,0.75
